Standard:Deutsch
Operation,Krankenhaus,Doktor,Chirurg,Schneiden,Skalpell,Bruch
Omelette,Eier,Koch,Bratpfanne,kehren,Essen
Geldbeutel,Münzen,Kreditkarten,Leder,bezahlen,Hosentasche,Scheine
Handschellen,Handgelenk,Polizei,Räuber,Gefängnis,anlegen,verhaften
Rezept,Anleitung,kochen,Essen,Nahrungsmittel,Buch
Leiter,Klettern,hoch,Feuerwehr,pflücken,Stufe,Tritt
Patient,Arzt,Doktor,Spital,Krankenschwester,Pflege
Knoblauch,Geschmack,kochen,Lammfleisch,riechen,Fahne
Berg,Zugpitze,hoch,Ski,klettern,Everest,Tal,Gebirge
Spiegel,sehen,schauen,Bild,Glas,zerbrechen
Fallschirm,abspringen,fallen,Himmel,Flugzeug,Kunst
Besen,wischen,Boden,kehren,Borsten,reinigen,putzen,sauber,fegen
Zelt,Camping,Ferien,Pfadfinder,Hering,Regenschutz
Computer,CD,Maschine,USB,PC,Bildschirm,Monitor,Laptop,PIN
Brücke,Fluss,überqueren,Straße,einstürzen,Fähre
Verwandte,Tante,Onkel,Familie,Cousin,Eltern
schreien,laut,Lärm,Mund,rufen,kreischen
Foto,Kamera,Bild,Rahmen,Video,Handy,Album,Ferien,Postkarte
Ferien,Sommer,baden,Strand,schulfrei,Urlaub
Haare,Kopf,Perücke,Friseur,blond,lang,Frisur
Kino,Film,Popcorn,schauen,Leinwand,Natschos,ansehen,Freude,Sessel,Date
Verein,Club,Fußball,turnen,gemeinnützig,Sport
Klavier,Instrument,Tasten,Piano,Flügel,Musik
Musik,Lieder,Songs,Instrument,singen,Gitarre
Ski,fahren,Piste,Schnee,Wintersport,Snowboard,Alpen
Tennis,Sport,Schläger,Ball,Platz,Netz
Januar,Monat,Winter,Jahresbeginn,erster,Februar
Schnee,Niederschlag,Flocken,kalt,Kristall,Wasser,weiß
Handschuhe,warm,Finger,wolle,Ski,Schnee
Eis,gefrohren,kalt,See,Schnee,Wasser
Schlittschuh,Eiskunstlauf,gleiten,Kufen,Füße,Eishockey
Dunkelheit,Licht,Winterzeit,Abend,Nacht,Lampe
Frost,Eis,Wetter,kalt,frieren,Glätte
Grippe,Krankheit,Husten,Fieber,Erkältung,Winter,gesund
Mantel,Kleidung,warm,Jacke,Winter,draußen
Schneemann,bauen,Kinder,Rübennase,Kugeln,rollen,Winter
Winterschlaf,Tiere,Vorräte,Igel,Bär,Höhle,Winterruhe,kalt
Sturm,Windstärke,kalt,eisig,Beaufort,Orkan
Suche,Sachen,Fernglas,GPS,Geocashing,verstecken,finden
Seil,ziehen,festbinden,ausbrechen,Tau,Leinen,Knoten,Faden
Nudelsieb,Essen,Wasser,abgießen,kochen,Sand
Saal,Raum,Halle,tanzen,groß,Säulen
Salat,Gemüse,waschen,Dressing,Essig,Paprika
Sohle,Fuß,Sand,Sandale,Schuh,Boden,laufen
Nase,Gesicht,putzen,niesen,atmen,Erkältung,riechen
Blumenvase,Haus,Strauß,Wasser,Schnittblumen,schenken,Glas,Behältnis,Keramik,Dekoration
Dose,Konserve,gelber Sack,verschlossen,haltbar,Lagerung
Hose,anziehen,Reißverschluss,kurz,Beine,Kleidung
Meise,Vogel,Amsel,singt,Nest,Specht
Bluse,anziehen,seriös,sauber,weiß,Kleidung
Reise,Ausflug,Rucksack,Freizeit,Urlaub,Ferne
Sand,heiß,Sonne,Kiste,Strand,feinkörnig
Sonne,heiß,Eis,Sommer,Himmel,tagsüber
Silber,Gold,Edelmetall,Hochzeit,glänzend,putzen,Schmuck
Socke,anziehen,Fuß,schmutzig,Strumpf,Schuh
Hund,bellen,Haustier,spazieren,Katze,Wolf,beißen,Knochen,treu,Leine
Haus,wohnen,bauen,Dach,Gebäude,Wohnung,Eigenheim,Ziegel,Hütte
Albtraum,Nacht,schlafen,Wunsch,Panik,Bett
Schlüssel,Schloss,Haus,Fenster,Tür,schließen
Buch,lesen,Titel,Seite,Papier,Roman
Strand,Sandburg,Meer,Ferien,Urlaub,Liegestuhl,baden
Schwimmbad,Wasser,Freizeit,Bademeister,Sport,Rutsche
Kuh,Milch,Tier,Bauernhof,Euter,Stall,melken,Flecken,Nutztier,Käse
Schweiz,Land,Kreuz,Kantone,Alpen,Bundesstaat
Sommer,Jahreszeit,warm,Ferien,Frühling,Herbst,Winter
Auto,fahren,Transport,Wagen,Reifen,Führerschein,Räder
Anzug,Hosen,Jacke,anziehen,Kleidungsstück,Krawatte
Arzt,Krankheit,Patient,Krankenhaus,Medizinstudium,gesund
Wein,trinken,Flasche,rot,Korken,Trauben
Paris,Eifelturm,Frankreich,Hauptstadt,Louvre,Baguette
Spülbecken,Spülen,Geschirr,Küche,Spülmittel,Wasserhahn
Sofa,Sitzen,Relaxen,Wohnzimmer,Möbelstück,Coach
Tomaten,rot,rund,Salat,Gemüse,Apfel
Park,Gras,Baum,sitzen,Bank,Sommer,Ballspielen
Handy,sprechen,telefonieren,Smartphone,Freunde,Gerät
London,Hauptstadt,England,Big Ben,Großbritannien,Königin,Queen Elisabeth
Zahnarzt,Zähne,Mund,Bohren,Krone,Füllung,Panik
Supermarkt,Einkaufszentrum,Aldi,Geschäft,Lidl,Essen
Rom,Hauptstadt,Italien,Vatikan,Pizza,Kolosseum
Reisepass,Stempel,Personalausweis,Identifizieren,Flughafen,vorzeigen,Bild,Schengenraum
Apfel,Obst,grün,Essen,beißen,Birne
Kissen,schlafen,Bett,Kopf,liegen,Daunen
Pilot,Flugzeug,Beruf,reisen,fliegen,Kapitän
Volleyball,spielen,Mannschaft,Ball,Sport,Netz
New York,USA,Hauptstadt,Big Apple,Millionenmetropole,Ostküste
Füller,schreiben,Tintenpatrone,nachfüllen,Notizblock,blau,Papier
Restaurant,Essen,Freunde,Abendessen,Lokal,Gastronomie,Koch,Kellner
Autoradio,Musik,hören,Gerät,Zuhörer,Verkehrsnachrichten
Exponent,Potenz,hoch,Zahl,Mathematik,Basis
Wurzel,Pflanze,Baum,Mathematik,Quadrat,Wasser,Boden
Mathematik,Schulfach,Zahlen,rechnen,Plus,Minus
Funktion,Zuordnung,Mathe,Zweck,Sinn,x und Y,Graph
Betrag,Zahl,Geld,Abstand,Striche,positiv,Vorzeichen
Kürbis,Halloween,Orange,schnitzen,Frucht,Jack O'Latern
Drache,Wind,Kinder,steigen,Schnur,Feuer spucken,Monster
Ernte,Bauer,Landwirt,Getreide,reif,Weizen,Obst
Trauben,Käsespieße,Wein,Obst,Kerne,Saft
Büroklammer,Papier,heften,ordnen,Tackernadeln,Metalldraht
Pinguin,schwarz,weiß,Vogel,Antarktis,Südpol,Eis,Wasser
Ballet,Tanz,Ballerina,Musik,Oper,Bühne
Adler,Augen,Sehvermögen,Nest,Horst,Vogel,Jäger,Falkner
Löwe,brüllen,gefährlich,Mähne,Großkatze,Afrika
Facebook,Instagram,Social Media,Plattform,blau,Meta
Katze,schnurren,miauen,Pfoten,Haustier,Tiger
Maus,Sendung,Ratte,grau,Falle,Katze
Schwein,Nutztier,Wildschwein,rosa,Fleisch,Sau,grunzen,Stall
Film,Kino,Leinwand,Star Wars,Video,Bilder
Hut,Jäger,Mütze,Kappe,Zylinder,Regen,Kopfbedeckung
Stift,Kugelschreiber,Bleistift,schreiben,pPpier,Buchstaben,zeichnen
Rettungsschwimmer,DLRG,Schwimmbad,ertrinken,abschleppen,reanimieren,Notfall
Feuerwehr,rot,Drehleiter,112,Notruf,brennen,löschen,Wasser
Silvester,Neujahr,Ende,Feuerwerk,anstoßen,Feier
Geburtstag,Alter,Jahre,Feier,Party,Jubiläum
Ostereier,Feiertag,Frühling,Huhn,Henne,suchen,bemalen
Promi,berühmt,Star,Person,Sänger,Fans
Streaming,Youtube,Netflix,Videos,schauen,Serien
Langeweile,nichts,Schule,Stress,Gegenteil,Gähnen
Atlantik,NATO,Ozean,Pazifik,Wasser,Meer,Europa,Amerika
Kontinent,Landmasse,Europa,Amerika,Asien,Platte,Afrika
Kampfjet,Luftwaffe,Krieg,Flugzeug,Rakete,Überschallknall,grau
Frachtflugzeug,Gütertransport,FedEx,Post,Container,Pilot
Container,Box,Metallkiste,Frachter,Schiff,Transport
Schiene,Zug,Lokomotive,Infrastruktur,Bahn,Gleise
Verspätung,Bahn,unpünktlich,Minuten,Ausfall,Ärgernis
Fisch,Hai,Aal,Wasser,Tier,Forelle
Bach,Fluss,Wasser,See,Meer,fließen
Kiesel,Stein,rund,glatt,grau,Sand,Zentimeter
Hexenkessel,rothaarig,Frauen,Magie,Zaubertrank,Besen
